epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2759,2.182,2.40703,2.37591,0.00757,0.86598,0.54007,0.20443,2.10498,2.99741,2.25854,0.00044,0.00044,0.00044
2,81.215,2.08225,2.21016,2.08687,0.60831,0.2268,0.35219,0.1305,2.32682,2.95827,2.50785,0.0008703,0.0008703,0.0008703
3,122.682,2.14489,2.24746,2.13355,0.35091,0.25773,0.23668,0.0494,2.70151,2.99241,2.7127,0.00127024,0.00127024,0.00127024
4,164.523,2.11445,2.20292,2.14371,0.33533,0.43169,0.31081,0.0853,2.40344,2.77076,2.42784,0.00163982,0.00163982,0.00163982
5,205.333,2.01901,2.19616,2.15987,0.3335,0.3299,0.24738,0.07158,2.4343,2.74609,2.5265,0.001736,0.001736,0.001736
6,246.246,2.05861,2.26766,2.14489,0.33965,0.27835,0.27211,0.10588,2.54011,2.68969,2.59785,0.00167,0.00167,0.00167
7,286.815,2.00047,2.1758,2.07895,0.24352,0.39175,0.16813,0.04234,2.80538,2.7427,2.79155,0.001604,0.001604,0.001604
8,328.598,2.05457,2.24363,2.12873,0.27779,0.24742,0.18896,0.05284,2.89866,2.94979,2.92091,0.001538,0.001538,0.001538
9,371.157,2.01294,2.24483,2.12139,0.40097,0.3299,0.26446,0.07653,2.67998,3.00062,2.76846,0.001472,0.001472,0.001472
10,414.872,1.98759,2.16221,2.08422,0.44702,0.35052,0.35756,0.11169,2.61287,2.61995,2.81041,0.001406,0.001406,0.001406
11,458.329,2.00824,2.0803,2.08916,0.35048,0.31959,0.27492,0.10214,2.58492,2.73477,2.70266,0.00134,0.00134,0.00134
12,500.711,1.95453,2.09576,2.03235,0.43462,0.43299,0.41343,0.14641,2.32272,2.29351,2.44445,0.001274,0.001274,0.001274
13,544.395,1.95963,2.15684,2.07091,0.43946,0.31959,0.30082,0.1104,2.56656,2.66692,2.7452,0.001208,0.001208,0.001208
14,586.156,1.94319,2.041,2.03703,0.50126,0.48454,0.43855,0.1569,2.3443,2.48192,2.45372,0.001142,0.001142,0.001142
15,626.453,1.92196,2.03037,2.02613,0.54369,0.41237,0.42384,0.14476,2.35703,2.66414,2.41981,0.001076,0.001076,0.001076
16,667.164,1.88649,1.95688,1.98032,0.60939,0.4433,0.45065,0.16995,2.26621,2.45397,2.34578,0.00101,0.00101,0.00101
17,707.991,1.81277,1.8509,1.92219,0.70752,0.47423,0.51552,0.22393,2.14723,2.24927,2.30392,0.000944,0.000944,0.000944
18,748.457,1.85996,1.96364,1.93738,0.59044,0.47423,0.49416,0.20729,2.27721,2.30224,2.39827,0.000878,0.000878,0.000878
19,788.855,1.79675,1.8643,1.91804,0.85505,0.34021,0.46,0.17111,2.37375,2.24065,2.47075,0.000812,0.000812,0.000812
20,829.808,1.76076,1.78554,1.9106,0.6123,0.48848,0.54517,0.22526,2.14858,2.07582,2.30761,0.000746,0.000746,0.000746
21,870.174,1.79295,1.84702,1.98914,0.64158,0.49485,0.563,0.22234,2.16266,2.17773,2.23999,0.00068,0.00068,0.00068
22,910.649,1.83139,1.75375,1.99997,0.64628,0.50861,0.56889,0.2409,2.19446,2.08034,2.32939,0.000614,0.000614,0.000614
23,950.967,1.72221,1.73194,1.93179,0.70101,0.46392,0.55193,0.23055,2.17019,1.98583,2.32443,0.000548,0.000548,0.000548
24,991.119,1.66307,1.69004,1.9134,0.63669,0.54639,0.5929,0.25651,2.07696,2.05337,2.20633,0.000482,0.000482,0.000482
25,1031.73,1.6932,1.6375,1.92979,0.76955,0.57732,0.67005,0.30089,1.97892,1.96235,2.11589,0.000416,0.000416,0.000416
26,1071.46,1.64271,1.60406,1.87912,0.72367,0.621,0.6637,0.29373,2.07321,1.93072,2.19329,0.00035,0.00035,0.00035
27,1111.82,1.64246,1.66559,1.86934,0.60063,0.62887,0.61305,0.26932,2.05979,1.93531,2.15489,0.000284,0.000284,0.000284
28,1154.15,1.58359,1.55463,1.87098,0.65566,0.58892,0.61829,0.27404,2.00958,1.97162,2.11204,0.000218,0.000218,0.000218
29,1196.42,1.54468,1.5191,1.80453,0.67238,0.57732,0.63532,0.2795,2.01356,1.94306,2.13032,0.000152,0.000152,0.000152
30,1238.62,1.51328,1.6056,1.79758,0.81701,0.50515,0.63988,0.27923,2.00849,1.94456,2.12634,8.6e-05,8.6e-05,8.6e-05
